CCG21CDH,ccg_name,trust_code,trust_name
00L,NHS NORTHUMBERLAND CCG,AM7,SIGN HEALTH (HQ)
00L,NHS NORTHUMBERLAND CCG,NO204,TALKING MATTERS NORTHUMBERLAND
00L,NHS NORTHUMBERLAND CCG,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
00L,NHS NORTHUMBERLAND CCG,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
00N,NHS SOUTH TYNESIDE CCG,AM7,SIGN HEALTH (HQ)
00N,NHS SOUTH TYNESIDE CCG,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
00N,NHS SOUTH TYNESIDE CCG,RX4K3,GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY
00P,NHS SUNDERLAND CCG,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
00P,NHS SUNDERLAND CCG,RX4K3,GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY
00Q,NHS BLACKBURN WITH DARWEN CCG,AM7,SIGN HEALTH (HQ)
00Q,NHS BLACKBURN WITH DARWEN CCG,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
00Q,NHS BLACKBURN WITH DARWEN CCG,RW501,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST HQ
00R,NHS BLACKPOOL CCG,AM7,SIGN HEALTH (HQ)
00R,NHS BLACKPOOL CCG,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
00R,NHS BLACKPOOL CCG,RW501,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST HQ
00R,NHS BLACKPOOL CCG,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
00T,NHS BOLTON CCG,AM7,SIGN HEALTH (HQ)
00T,NHS BOLTON CCG,AML01,1POINT (NORTH WEST)
00T,NHS BOLTON CCG,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
00T,NHS BOLTON CCG,RW4,MERSEY CARE NHS FOUNDATION TRUST
00T,NHS BOLTON CCG,RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST
00T,NHS BOLTON CCG,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST
00V,NHS BURY CCG,AM7,SIGN HEALTH (HQ)
00V,NHS BURY CCG,DRL,42ND STREET
00V,NHS BURY CCG,RT2,PENNINE CARE NHS FOUNDATION TRUST
00V,NHS BURY CCG,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
00V,NHS BURY CCG,RW501,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST HQ
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,AM7,SIGN HEALTH (HQ)
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,RW501,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST HQ
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
00Y,NHS OLDHAM CCG,8JJ53,"TAMESIDE, OLDHAM AND GLOSSOP MIND"
00Y,NHS OLDHAM CCG,AM7,SIGN HEALTH (HQ)
00Y,NHS OLDHAM CCG,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
